country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","04-04-2025 15:00:00",14.675886,77.593027,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","04-04-2025 15:00:00",14.675886,77.593027,CO,13,18,16
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","04-04-2025 15:00:00",13.204880,79.097889,PM2.5,36,65,49
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-04-2025 15:00:00",14.465052,78.824187,NO2,10,24,16
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-04-2025 15:00:00",14.465052,78.824187,OZONE,9,11,9
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","04-04-2025 15:00:00",26.071318,91.87488,NO2,8,35,15
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","04-04-2025 15:00:00",26.071318,91.87488,SO2,29,31,30
India,Assam,Guwahati,"IITG, Guwahati - PCBA","04-04-2025 15:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA","04-04-2025 15:00:00",26.2028636,91.70046436,CO,10,20,16
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","04-04-2025 15:00:00",26.10887,91.589544,NH3,16,21,17
